{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 1.3229999999999999e-05
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 1.47e-06
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 2.7e-07
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 3e-08
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.00025136999999999995
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 2.793e-05
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 5.13e-06
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 5.699999999999999e-07
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Present', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 6.86e-06
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 2.9400000000000002e-06
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 1.4e-07
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 6.000000000000001e-08
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Present', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.00013034
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 5.586e-05
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 2.6600000000000004e-06
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'True', 'XRay': 'Normal', 'Dyspnea': 'False'} Probability: 1.14e-06
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'True'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Abnormal', 'Dyspnea': 'False'} Probability: 0.0
{'Smoking': 'Smoking', 'VisitAsia': 'Visit', 'LungCancer': 'Present', 'Bronchitis': 'Absent', 'Tuberculosis': 'Absent', 'Tb_or_Ca': 'False', 'XRay': 'Normal', 'Dyspnea': 'True'} Probability: 0.0
